 ,Area,Mean,Min,Max
1,16384,227.876,5,1051
2,16384,215.154,0,923
3,16384,183.903,0,637
4,16384,189.541,0,785
5,16384,226.506,27,802
6,16384,219.822,13,855
7,16384,249.728,9,1036
8,16384,232.728,13,1042
9,16384,233.736,10,1294
10,16384,240.531,3,1137
11,16384,239.76,17,961
12,16384,210.74,17,912
13,16384,176.023,0,728
14,16384,173.866,0,734
15,16384,211.635,0,670
16,16384,204.59,0,805
17,16384,202.835,0,834
18,16384,177.752,6,639
19,16384,216.331,9,1255
20,16384,231.055,0,1033
21,16384,177.443,0,640
22,16384,210.016,7,960
23,16384,119.943,0,723
24,16384,156.653,0,1072
25,16384,155.101,0,518
26,16384,136.987,0,527
27,16384,119.045,0,507
28,16384,134.175,0,595
29,16384,161.205,3,567
30,16384,137.268,0,576
31,16384,121.17,0,731
32,16384,134.947,0,740
33,16384,156.097,0,655
34,16384,162.818,0,635
35,16384,136.369,0,541
36,16384,124.383,0,555
37,16384,177.26,0,1037
38,16384,153.858,6,547
39,16384,143.959,0,530
40,16384,142.526,0,747
41,16384,79.835,0,507
42,16384,86.022,0,539
43,16384,114.164,0,619
44,16384,100.789,0,509
45,16384,118.568,0,605
46,16384,121.455,0,609
47,16384,147.915,0,541
48,16384,124.695,0,474
49,16384,121.082,0,538
50,16384,135.223,0,482
51,16384,184.66,2,744
52,16384,231.627,14,813
53,16384,238.171,12,956
54,16384,214.359,14,827
