 ,Area,Mean,Min,Max
1,16384,75.626,0,371
2,16384,78.737,0,361
3,16384,91.36,0,440
4,16384,91.166,0,282
5,16384,95.853,3,287
6,16384,98.079,0,307
7,16384,94.026,0,285
8,16384,101.306,0,285
9,16384,111.088,1,1041
10,16384,96.268,0,301
11,16384,97.81,2,357
12,16384,104.544,4,273
13,16384,106.26,1,333
14,16384,122.834,4,334
15,16384,55.341,0,218
16,16384,50.648,0,188
17,16384,86.272,0,286
18,16384,109.538,4,318
19,16384,67.921,0,219
20,16384,59.46,0,212
21,16384,74.769,0,342
22,16384,78.041,0,457
23,16384,59.953,0,205
24,16384,64.583,0,228
25,16384,74.497,0,255
26,16384,75.985,0,248
27,16384,81.234,0,399
28,16384,88.378,0,276
29,16384,76.786,0,249
30,16384,93.017,0,383
31,16384,137.477,4,339
32,16384,137.929,0,351
33,16384,147.371,18,398
34,16384,130.761,0,311
35,16384,100.208,4,322
36,16384,110.318,2,278
37,16384,159.167,11,452
38,16384,131.591,11,634
39,16384,77.066,0,284
40,16384,92.569,0,396
41,16384,72.721,0,338
42,16384,69.369,0,254
43,16384,111.949,0,506
44,16384,109.942,10,301
45,16384,85.749,0,313
46,16384,80.845,0,270
47,16384,101.036,3,332
48,16384,109.953,2,318
49,16384,117.043,8,336
50,16384,126.633,8,332
51,16384,181.639,32,440
52,16384,177.334,40,405
53,16384,130.833,7,352
54,16384,149.545,4,380
