 	Area	%Area
1	16384	74.579
2	16384	81.067
3	16384	76.038
4	16384	72.186
5	16384	70.612
6	16384	78.247
7	16384	67.847
8	16384	71.149
9	16384	70.203
10	16384	66.254
11	16384	67.224
12	16384	69.153
13	16384	71.472
14	16384	72.070
15	16384	73.541
16	16384	76.605
17	16384	70.386
18	16384	77.173
19	16384	75.385
20	16384	73.169
21	16384	75.043
22	16384	84.119
23	16384	76.715
24	16384	79.193
25	16384	77.887
26	16384	68.958
27	16384	68.842
28	16384	67.529
29	16384	77.100
30	16384	70.807
31	16384	69.836
32	16384	80.176
33	16384	74.255
34	16384	70.587
35	16384	76.764
36	16384	70.801
37	16384	79.199
38	16384	74.597
39	16384	82.410
40	16384	81.195
41	16384	94.391
42	16384	82.880
43	16384	70.227
44	16384	72.003
45	16384	72.150
46	16384	69.031
47	16384	72.321
48	16384	70.056
49	16384	77.008
50	16384	68.042
51	16384	66.357
52	16384	65.002
53	16384	70.483
54	16384	73.218
