 	Area	%Area
1	16384	69.135
2	16384	77.075
3	16384	70.679
4	16384	66.913
5	16384	66.956
6	16384	71.979
7	16384	63.330
8	16384	65.271
9	16384	67.072
10	16384	62.347
11	16384	59.473
12	16384	64.648
13	16384	65.741
14	16384	66.449
15	16384	65.009
16	16384	66.455
17	16384	65.076
18	16384	69.470
19	16384	71.332
20	16384	63.879
21	16384	68.530
22	16384	76.361
23	16384	70.135
24	16384	76.141
25	16384	70.624
26	16384	64.240
27	16384	62.238
28	16384	62.091
29	16384	70.978
30	16384	64.270
31	16384	63.757
32	16384	66.913
33	16384	68.958
34	16384	62.115
35	16384	69.635
36	16384	63.861
37	16384	75.952
38	16384	68.341
39	16384	72.247
40	16384	71.790
41	16384	76.776
42	16384	73.413
43	16384	65.094
44	16384	64.838
45	16384	67.639
46	16384	64.801
47	16384	69.623
48	16384	65.564
49	16384	66.687
50	16384	62.817
51	16384	63.043
52	16384	60.852
53	16384	65.100
54	16384	65.717
