 	Area	%Area
1	16384	50.122
2	16384	49.945
3	16384	49.988
4	16384	49.963
5	16384	50.171
6	16384	50.208
7	16384	49.719
8	16384	50.067
9	16384	50.250
10	16384	49.884
11	16384	49.982
12	16384	50.244
13	16384	50.006
14	16384	49.866
15	16384	49.902
16	16384	50.098
17	16384	50.183
18	16384	49.774
19	16384	49.817
20	16384	50.305
21	16384	50.372
22	16384	49.866
23	16384	50.049
24	16384	50.256
25	16384	50.104
26	16384	50.061
27	16384	49.701
28	16384	50.006
29	16384	49.670
30	16384	49.823
31	16384	50.110
32	16384	49.677
33	16384	49.854
34	16384	50.110
35	16384	49.847
36	16384	50.098
37	16384	50.110
38	16384	49.927
39	16384	51.001
40	16384	50.507
41	16384	49.860
42	16384	49.707
43	16384	50.232
44	16384	50.031
45	16384	50.159
46	16384	50.287
47	16384	50.366
48	16384	50.024
49	16384	49.756
50	16384	50.195
51	16384	50.195
52	16384	50.244
53	16384	49.994
54	16384	49.756
