 	Area	%Area
1	16384	90.619
2	16384	83.643
3	16384	94.885
4	16384	91.235
5	16384	87.195
6	16384	94.104
7	16384	93.695
8	16384	92.902
9	16384	85.004
10	16384	92.584
11	16384	97.162
12	16384	93.494
13	16384	90.375
14	16384	92.676
15	16384	96.490
16	16384	95.673
17	16384	94.287
18	16384	92.169
19	16384	79.858
20	16384	93.091
21	16384	93.036
22	16384	94.891
23	16384	93.793
24	16384	88.629
25	16384	92.432
26	16384	95.825
27	16384	91.602
28	16384	93.677
29	16384	94.452
30	16384	97.125
31	16384	94.342
32	16384	94.983
33	16384	93.396
34	16384	96.155
35	16384	94.861
36	16384	95.984
37	16384	92.212
38	16384	91.913
39	16384	93.567
40	16384	96.576
41	16384	95.947
42	16384	96.106
43	16384	94.635
44	16384	97.467
45	16384	94.910
46	16384	96.783
47	16384	91.406
48	16384	94.830
49	16384	93.732
50	16384	92.255
51	16384	90.283
52	16384	91.119
53	16384	94.391
54	16384	94.781
