 	Area	%Area
1	16384	94.690
2	16384	97.705
3	16384	96.899
4	16384	97.565
5	16384	94.037
6	16384	96.002
7	16384	98.138
8	16384	98.846
9	16384	99.316
10	16384	99.121
11	16384	97.192
12	16384	99.475
13	16384	95.856
14	16384	97.418
15	16384	94.928
16	16384	97.003
17	16384	96.558
18	16384	97.864
19	16384	99.506
20	16384	97.858
21	16384	90.955
22	16384	98.016
23	16384	98.938
24	16384	98.529
25	16384	96.722
26	16384	97.333
27	16384	96.301
28	16384	97.662
29	16384	96.906
30	16384	99.103
31	16384	99.536
32	16384	99.377
33	16384	97.278
34	16384	99.036
35	16384	98.108
36	16384	98.999
37	16384	99.060
38	16384	96.716
39	16384	90.527
40	16384	99.078
41	16384	98.645
42	16384	98.694
43	16384	99.109
44	16384	98.456
45	16384	99.316
46	16384	99.249
47	16384	97.455
48	16384	96.350
49	16384	97.491
50	16384	97.211
51	16384	96.796
52	16384	93.774
53	16384	98.846
54	16384	98.749
