 	Area	%Area
1	16384	68.597
2	16384	68.195
3	16384	62.128
4	16384	67.670
5	16384	69.830
6	16384	72.998
7	16384	66.260
8	16384	68.091
9	16384	67.804
10	16384	69.696
11	16384	70.538
12	16384	66.486
13	16384	66.644
14	16384	69.348
15	16384	64.636
16	16384	72.516
17	16384	66.443
18	16384	67.609
19	16384	75.153
20	16384	74.329
21	16384	66.089
22	16384	74.023
23	16384	70.398
24	16384	71.979
25	16384	64.178
26	16384	62.451
27	16384	68.823
28	16384	64.838
29	16384	66.968
30	16384	63.422
31	16384	68.506
32	16384	70.905
33	16384	68.359
34	16384	66.449
35	16384	69.788
36	16384	67.438
37	16384	72.040
38	16384	63.647
39	16384	66.718
40	16384	69.086
41	16384	71.179
42	16384	69.836
43	16384	65.393
44	16384	70.044
45	16384	69.257
46	16384	67.261
47	16384	66.107
48	16384	65.143
49	16384	68.286
50	16384	66.595
51	16384	70.007
52	16384	68.860
53	16384	68.512
54	16384	64.221
