 	Area	%Area
1	16384	91.754
2	16384	90.204
3	16384	92.432
4	16384	91.711
5	16384	93.042
6	16384	96.210
7	16384	88.513
8	16384	94.397
9	16384	95.837
10	16384	93.677
11	16384	94.025
12	16384	97.064
13	16384	93.292
14	16384	90.442
15	16384	88.715
16	16384	90.387
17	16384	94.861
18	16384	93.292
19	16384	95.374
20	16384	92.914
21	16384	93.170
22	16384	93.225
23	16384	94.562
24	16384	95.880
25	16384	89.117
26	16384	95.270
27	16384	90.430
28	16384	92.200
29	16384	92.877
30	16384	93.469
31	16384	94.409
32	16384	94.043
33	16384	95.862
34	16384	88.190
35	16384	94.904
36	16384	90.375
37	16384	96.558
38	16384	88.727
39	16384	91.901
40	16384	91.541
41	16384	95.929
42	16384	95.099
43	16384	96.582
44	16384	96.289
45	16384	94.238
46	16384	95.673
47	16384	90.802
48	16384	94.525
49	16384	94.818
50	16384	90.308
51	16384	89.221
52	16384	92.926
53	16384	95.874
54	16384	93.079
