 	Area	%Area
1	16384	64.227
2	16384	64.331
3	16384	58.752
4	16384	62.982
5	16384	64.423
6	16384	67.212
7	16384	63.452
8	16384	63.275
9	16384	61.560
10	16384	63.641
11	16384	66.290
12	16384	63.019
13	16384	63.971
14	16384	65.924
15	16384	62.311
16	16384	69.092
17	16384	61.951
18	16384	62.305
19	16384	65.814
20	16384	68.567
21	16384	61.359
22	16384	68.652
23	16384	68.640
24	16384	62.897
25	16384	59.222
26	16384	59.253
27	16384	64.984
28	16384	61.066
29	16384	62.225
30	16384	59.460
31	16384	63.666
32	16384	63.721
33	16384	62.939
34	16384	62.421
35	16384	65.234
36	16384	64.789
37	16384	61.761
38	16384	61.359
39	16384	63.367
40	16384	65.271
41	16384	68.921
42	16384	67.017
43	16384	62.439
44	16384	67.139
45	16384	64.398
46	16384	63.007
47	16384	62.488
48	16384	63.617
49	16384	64.557
50	16384	64.246
51	16384	66.553
52	16384	63.965
53	16384	63.623
54	16384	59.686
