 	Area	%Area
1	16384	55.066
2	16384	56.128
3	16384	56.458
4	16384	54.956
5	16384	53.351
6	16384	51.624
7	16384	55.060
8	16384	54.492
9	16384	54.260
10	16384	52.032
11	16384	52.130
12	16384	51.208
13	16384	57.166
14	16384	56.445
15	16384	53.339
16	16384	51.709
17	16384	51.227
18	16384	53.436
19	16384	58.978
20	16384	55.786
21	16384	57.935
22	16384	53.198
23	16384	56.256
24	16384	53.357
25	16384	55.676
26	16384	55.408
27	16384	55.566
28	16384	51.215
29	16384	55.280
30	16384	54.712
31	16384	54.321
32	16384	55.536
33	16384	50.909
34	16384	52.710
35	16384	49.884
36	16384	55.457
37	16384	49.707
38	16384	52.069
39	16384	53.094
40	16384	54.309
41	16384	51.227
42	16384	52.692
43	16384	56.714
44	16384	52.887
45	16384	50.171
46	16384	56.787
47	16384	53.265
48	16384	54.480
49	16384	55.280
50	16384	55.054
51	16384	54.260
52	16384	54.974
53	16384	54.010
54	16384	52.441
