 	Area	%Area
1	16384	58.289
2	16384	57.196
3	16384	54.755
4	16384	56.390
5	16384	60.291
6	16384	55.133
7	16384	55.652
8	16384	57.098
9	16384	55.084
10	16384	56.128
11	16384	54.553
12	16384	52.271
13	16384	56.342
14	16384	55.701
15	16384	52.216
16	16384	56.812
17	16384	54.083
18	16384	55.048
19	16384	59.906
20	16384	58.032
21	16384	61.566
22	16384	59.143
23	16384	55.530
24	16384	62.378
25	16384	54.846
26	16384	52.747
27	16384	54.199
28	16384	54.700
29	16384	55.835
30	16384	55.444
31	16384	57.800
32	16384	55.536
33	16384	49.170
34	16384	54.657
35	16384	53.070
36	16384	55.457
37	16384	49.707
38	16384	57.837
39	16384	54.498
40	16384	54.309
41	16384	53.186
42	16384	54.706
43	16384	55.273
44	16384	58.325
45	16384	53.125
46	16384	55.029
47	16384	55.310
48	16384	55.402
49	16384	59.619
50	16384	53.320
51	16384	55.548
52	16384	54.974
53	16384	54.669
54	16384	50.940
