 	Area	%Area
1	16384	56.152
2	16384	56.128
3	16384	54.755
4	16384	55.920
5	16384	57.648
6	16384	55.133
7	16384	55.652
8	16384	55.829
9	16384	55.084
10	16384	56.128
11	16384	54.553
12	16384	54.358
13	16384	56.342
14	16384	54.950
15	16384	54.462
16	16384	56.812
17	16384	55.615
18	16384	56.769
19	16384	56.964
20	16384	56.653
21	16384	57.556
22	16384	56.708
23	16384	55.530
24	16384	57.648
25	16384	55.676
26	16384	54.852
27	16384	54.907
28	16384	54.700
29	16384	55.280
30	16384	55.444
31	16384	56.146
32	16384	55.536
33	16384	52.722
34	16384	55.554
35	16384	54.065
36	16384	55.457
37	16384	53.900
38	16384	56.689
39	16384	54.498
40	16384	54.309
41	16384	54.065
42	16384	54.706
43	16384	54.596
44	16384	55.884
45	16384	53.888
46	16384	55.029
47	16384	54.352
48	16384	55.402
49	16384	56.415
50	16384	53.900
51	16384	54.962
52	16384	54.346
53	16384	54.010
54	16384	53.107
