 	Area	%Area
1	16384	75.061
2	16384	72.119
3	16384	80.164
4	16384	74.121
5	16384	72.955
6	16384	67.560
7	16384	70.941
8	16384	61.853
9	16384	69.812
10	16384	70.007
11	16384	72.406
12	16384	73.206
13	16384	68.237
14	16384	63.336
15	16384	68.860
16	16384	67.212
17	16384	72.443
18	16384	73.175
19	16384	72.186
20	16384	71.954
21	16384	73.645
22	16384	73.224
23	16384	71.478
24	16384	74.078
25	16384	69.067
26	16384	64.990
27	16384	73.859
28	16384	70.618
29	16384	72.760
30	16384	75.281
31	16384	67.938
32	16384	67.224
33	16384	64.990
34	16384	67.834
35	16384	70.667
36	16384	68.646
37	16384	69.275
38	16384	73.566
39	16384	67.462
40	16384	74.677
41	16384	68.048
42	16384	64.984
43	16384	71.411
44	16384	68.506
45	16384	70.209
46	16384	68.793
47	16384	68.414
48	16384	72.894
49	16384	72.418
50	16384	64.740
51	16384	67.230
52	16384	69.147
53	16384	73.596
54	16384	75.677
