 	Area	%Area
1	16384	94.312
2	16384	96.014
3	16384	94.281
4	16384	90.833
5	16384	95.471
6	16384	92.792
7	16384	93.585
8	16384	93.994
9	16384	95.935
10	16384	97.070
11	16384	91.162
12	16384	97.986
13	16384	92.963
14	16384	87.781
15	16384	96.313
16	16384	89.697
17	16384	92.542
18	16384	93.372
19	16384	97.479
20	16384	93.848
21	16384	92.010
22	16384	96.191
23	16384	92.474
24	16384	94.391
25	16384	96.814
26	16384	94.373
27	16384	96.771
28	16384	96.423
29	16384	96.143
30	16384	92.078
31	16384	87.665
32	16384	87.585
33	16384	97.852
34	16384	98.425
35	16384	95.770
36	16384	95.569
37	16384	98.297
38	16384	94.135
39	16384	96.704
40	16384	96.466
41	16384	93.976
42	16384	94.244
43	16384	97.101
44	16384	92.719
45	16384	94.080
46	16384	94.012
47	16384	93.628
48	16384	94.714
49	16384	97.754
50	16384	96.100
51	16384	95.355
52	16384	91.632
53	16384	96.417
54	16384	97.827
