 	Area	%Area
1	16384	27.563
2	16384	1.813
3	16384	0.018
4	16384	0.116
5	16384	0.037
6	16384	0.342
7	16384	15.021
8	16384	0.439
9	16384	30.811
10	16384	28.821
11	16384	7.562
12	16384	39.209
13	16384	0.751
14	16384	33.923
15	16384	42.352
16	16384	34.631
17	16384	18.207
18	16384	13.678
19	16384	7.184
20	16384	0.818
21	16384	30.243
22	16384	0.024
23	16384	0.061
24	16384	0.012
25	16384	30.060
26	16384	17.267
27	16384	2.777
28	16384	0.043
29	16384	0.110
30	16384	0.043
31	16384	15.002
32	16384	9.015
33	16384	0.031
34	16384	0.110
35	16384	0.006
36	16384	0.012
