 	Area	%Area
1	16384	99.963
2	16384	99.963
3	16384	99.847
4	16384	99.390
5	16384	99.988
6	16384	99.884
7	16384	99.994
8	16384	99.963
9	16384	99.951
10	16384	99.951
11	16384	99.951
12	16384	99.988
13	16384	98.804
14	16384	99.780
15	16384	99.982
16	16384	99.969
17	16384	99.817
18	16384	99.982
19	16384	99.963
20	16384	99.988
21	16384	99.988
22	16384	99.951
23	16384	99.829
24	16384	99.969
25	16384	99.951
26	16384	99.945
27	16384	99.988
28	16384	99.994
29	16384	99.707
30	16384	99.927
31	16384	99.951
32	16384	99.994
33	16384	99.872
34	16384	99.835
35	16384	99.744
36	16384	99.908
