 	Area	%Area
1	16384	90.649
2	16384	90.045
3	16384	88.416
4	16384	93.481
5	16384	91.998
6	16384	97.272
7	16384	89.087
8	16384	94.330
9	16384	88.989
10	16384	89.648
11	16384	96.057
12	16384	88.715
13	16384	97.241
14	16384	87.903
15	16384	86.200
16	16384	87.970
17	16384	87.488
18	16384	88.293
19	16384	88.062
20	16384	91.882
21	16384	86.060
22	16384	95.630
23	16384	92.627
24	16384	91.583
25	16384	85.815
26	16384	88.104
27	16384	91.791
28	16384	91.248
29	16384	93.903
30	16384	93.774
31	16384	93.610
32	16384	88.037
33	16384	91.351
34	16384	90.735
35	16384	89.941
36	16384	85.608
