 	Area	%Area
1	16384	74.133
2	16384	58.063
3	16384	55.920
4	16384	61.670
5	16384	60.724
6	16384	63.165
7	16384	58.478
8	16384	59.711
9	16384	61.511
10	16384	62.915
11	16384	62.024
12	16384	62.671
13	16384	56.067
14	16384	62.103
15	16384	58.850
16	16384	59.576
17	16384	67.084
18	16384	62.140
19	16384	71.173
20	16384	61.877
21	16384	66.937
22	16384	69.122
23	16384	64.465
24	16384	61.121
25	16384	57.019
26	16384	65.045
27	16384	61.853
28	16384	65.601
29	16384	70.813
30	16384	64.679
31	16384	61.969
32	16384	61.810
33	16384	63.696
34	16384	66.101
35	16384	66.882
36	16384	62.335
37	16384	63.000
38	16384	66.193
39	16384	66.541
40	16384	62.067
41	16384	64.062
42	16384	61.865
43	16384	59.198
44	16384	61.023
45	16384	60.046
46	16384	58.960
47	16384	62.640
48	16384	68.945
49	16384	64.154
50	16384	65.460
51	16384	64.850
52	16384	58.014
53	16384	63.202
54	16384	65.656
