 	Area	%Area
1	16384	62.061
2	16384	52.496
3	16384	50.391
4	16384	55.133
5	16384	53.693
6	16384	54.382
7	16384	53.021
8	16384	50.909
9	16384	53.778
10	16384	54.785
11	16384	53.339
12	16384	54.437
13	16384	50.244
14	16384	54.077
15	16384	52.728
16	16384	52.747
17	16384	57.544
18	16384	54.456
19	16384	60.992
20	16384	54.767
21	16384	57.013
22	16384	58.624
23	16384	55.304
24	16384	54.114
25	16384	50.427
26	16384	57.593
27	16384	54.352
28	16384	55.890
29	16384	60.779
30	16384	56.232
31	16384	54.950
32	16384	54.620
33	16384	55.109
34	16384	57.117
35	16384	57.501
36	16384	54.401
37	16384	55.084
38	16384	58.124
39	16384	57.202
40	16384	54.156
41	16384	55.988
42	16384	53.790
43	16384	52.985
44	16384	54.797
45	16384	53.387
46	16384	53.333
47	16384	55.469
48	16384	60.077
49	16384	56.628
50	16384	57.330
51	16384	56.860
52	16384	50.806
53	16384	54.987
54	16384	57.214
