 	Area	%Area
1	16384	0.012
2	16384	31.281
3	16384	19.330
4	16384	7.446
5	16384	8.820
6	16384	4.730
7	16384	20.172
8	16384	16.492
9	16384	7.050
10	16384	0.757
11	16384	3.845
12	16384	1.660
13	16384	30.743
14	16384	3.143
15	16384	10.254
16	16384	22.302
17	16384	0.006
18	16384	7.855
19	16384	0.006
20	16384	8.954
21	16384	0.024
22	16384	0.043
23	16384	0.409
24	16384	5.481
25	16384	25.562
26	16384	0.342
27	16384	1.007
28	16384	0.323
29	16384	0.018
30	16384	0.244
31	16384	2.820
32	16384	2.582
33	16384	1.166
34	16384	0.458
35	16384	3.058
36	16384	12.860
37	16384	6.775
38	16384	0.098
39	16384	0.012
40	16384	1.550
41	16384	0.092
42	16384	0.989
43	16384	16.608
44	16384	11.432
45	16384	17.535
46	16384	22.467
47	16384	0.342
48	16384	0.018
49	16384	0.024
50	16384	0.031
51	16384	1.184
52	16384	15.619
53	16384	1.569
54	16384	1.196
