 	Area	%Area
1	16384	75.208
2	16384	58.063
3	16384	57.916
4	16384	62.292
5	16384	62.836
6	16384	63.165
7	16384	60.529
8	16384	59.711
9	16384	62.451
10	16384	63.696
11	16384	62.964
12	16384	63.654
13	16384	57.587
14	16384	62.756
15	16384	59.564
16	16384	60.822
17	16384	67.419
18	16384	62.604
19	16384	71.545
20	16384	63.013
21	16384	67.444
22	16384	69.647
23	16384	65.076
24	16384	61.121
25	16384	57.019
26	16384	65.674
27	16384	62.573
28	16384	65.601
29	16384	70.813
30	16384	65.961
31	16384	62.512
32	16384	62.305
33	16384	64.264
34	16384	66.101
35	16384	66.882
36	16384	62.335
37	16384	63.000
38	16384	66.687
39	16384	66.541
40	16384	62.067
41	16384	64.636
42	16384	63.159
43	16384	60.083
44	16384	61.707
45	16384	60.809
46	16384	59.796
47	16384	63.947
48	16384	69.977
49	16384	64.154
50	16384	65.924
51	16384	65.356
52	16384	58.643
53	16384	63.702
54	16384	66.083
