 	Area	%Area
1	16384	56.763
2	16384	70.270
3	16384	57.935
4	16384	55.151
5	16384	55.304
6	16384	53.741
7	16384	55.463
8	16384	54.694
9	16384	72.986
10	16384	54.956
11	16384	54.456
12	16384	54.370
13	16384	54.474
14	16384	53.485
15	16384	58.032
16	16384	57.898
17	16384	53.412
18	16384	56.848
19	16384	56.512
20	16384	59.149
21	16384	56.165
22	16384	61.761
23	16384	58.868
24	16384	58.911
25	16384	56.921
26	16384	57.758
27	16384	58.618
28	16384	56.378
29	16384	56.421
30	16384	58.405
31	16384	52.679
32	16384	53.430
33	16384	53.918
34	16384	53.662
35	16384	55.347
36	16384	53.418
37	16384	56.305
38	16384	60.510
39	16384	59.766
40	16384	61.047
41	16384	59.570
42	16384	59.100
43	16384	58.105
44	16384	54.871
45	16384	59.143
46	16384	57.623
47	16384	56.628
48	16384	56.683
49	16384	54.694
50	16384	55.359
51	16384	54.590
52	16384	53.613
53	16384	54.858
54	16384	53.986
