 	Area	%Area
1	16384	50.610
2	16384	53.253
3	16384	51.361
4	16384	51.740
5	16384	51.038
6	16384	51.581
7	16384	53.326
8	16384	51.270
9	16384	49.243
10	16384	49.548
11	16384	48.553
12	16384	52.161
13	16384	49.567
14	16384	50.610
15	16384	51.111
16	16384	49.237
17	16384	50.928
18	16384	54.834
19	16384	55.298
20	16384	50.189
21	16384	46.655
22	16384	53.247
23	16384	53.381
24	16384	49.670
25	16384	55.725
26	16384	53.149
27	16384	52.075
28	16384	54.199
29	16384	50.220
30	16384	50.891
31	16384	52.679
32	16384	51.526
33	16384	53.918
34	16384	53.662
35	16384	54.126
36	16384	54.535
37	16384	53.033
38	16384	50.732
39	16384	51.508
40	16384	54.474
41	16384	51.288
42	16384	50.226
43	16384	50.067
44	16384	54.871
45	16384	53.741
46	16384	56.512
47	16384	49.225
48	16384	55.548
49	16384	47.479
50	16384	50.574
51	16384	54.590
52	16384	53.613
53	16384	48.834
54	16384	54.767
