 	Area	%Area
1	16384	53.033
2	16384	57.227
3	16384	53.577
4	16384	52.832
5	16384	52.161
6	16384	52.606
7	16384	53.326
8	16384	52.472
9	16384	57.520
10	16384	52.948
11	16384	52.112
12	16384	52.161
13	16384	52.515
14	16384	51.556
15	16384	53.937
16	16384	53.711
17	16384	52.124
18	16384	52.838
19	16384	53.003
20	16384	54.224
21	16384	52.722
22	16384	55.127
23	16384	54.749
24	16384	53.741
25	16384	53.326
26	16384	54.327
27	16384	54.120
28	16384	52.979
29	16384	52.893
30	16384	54.120
31	16384	51.709
32	16384	51.526
33	16384	51.984
34	16384	51.593
35	16384	52.960
36	16384	52.228
37	16384	53.033
38	16384	54.388
39	16384	54.553
40	16384	54.474
41	16384	53.864
42	16384	54.181
43	16384	52.905
44	16384	51.801
45	16384	53.741
46	16384	53.003
47	16384	53.528
48	16384	52.625
49	16384	52.631
50	16384	52.637
51	16384	52.118
52	16384	51.874
53	16384	51.874
54	16384	52.045
