 	Area	%Area
1	16384	95.209
2	16384	95.129
3	16384	99.359
4	16384	91.223
5	16384	94.104
6	16384	86.792
7	16384	89.978
8	16384	96.698
9	16384	98.682
10	16384	82.104
11	16384	99.249
12	16384	92.151
13	16384	85.571
14	16384	86.462
15	16384	96.735
16	16384	88.324
17	16384	81.488
18	16384	97.955
19	16384	89.429
20	16384	87.793
21	16384	96.747
22	16384	98.126
23	16384	93.866
24	16384	97.217
25	16384	93.762
26	16384	95.984
27	16384	98.889
28	16384	88.574
29	16384	90.222
30	16384	99.023
31	16384	87.756
32	16384	94.678
33	16384	93.030
34	16384	87.445
35	16384	91.418
36	16384	82.916
37	16384	92.456
38	16384	99.054
39	16384	96.558
40	16384	98.956
41	16384	98.187
42	16384	90.710
43	16384	98.755
44	16384	89.197
45	16384	99.115
46	16384	86.346
47	16384	91.663
48	16384	89.374
49	16384	82.416
50	16384	90.558
51	16384	90.173
52	16384	87.219
53	16384	88.940
54	16384	86.688
