 	Area	%Area
1	16384	99.115
2	16384	98.309
3	16384	97.693
4	16384	97.400
5	16384	99.731
6	16384	97.424
7	16384	98.444
8	16384	97.668
9	16384	99.792
10	16384	98.438
11	16384	98.468
12	16384	99.170
13	16384	99.347
14	16384	97.888
15	16384	99.176
16	16384	96.777
17	16384	98.285
18	16384	99.316
19	16384	98.224
20	16384	97.192
21	16384	96.704
22	16384	98.773
23	16384	96.014
24	16384	98.553
25	16384	98.651
26	16384	96.582
27	16384	97.992
28	16384	99.194
29	16384	98.126
30	16384	99.194
31	16384	98.944
32	16384	95.514
33	16384	96.069
34	16384	98.315
35	16384	97.748
36	16384	91.766
37	16384	96.832
38	16384	94.012
39	16384	98.810
40	16384	98.853
41	16384	97.394
42	16384	96.124
43	16384	95.770
44	16384	95.490
45	16384	94.653
46	16384	96.484
47	16384	93.439
48	16384	93.665
49	16384	99.524
50	16384	97.894
51	16384	97.748
52	16384	97.491
53	16384	99.207
54	16384	99.225
