 	Area	%Area
1	16384	80.853
2	16384	79.712
3	16384	83.777
4	16384	79.742
5	16384	79.712
6	16384	72.516
7	16384	77.374
8	16384	70.990
9	16384	82.123
10	16384	76.996
11	16384	78.296
12	16384	86.371
13	16384	73.639
14	16384	68.823
15	16384	74.573
16	16384	71.582
17	16384	76.056
18	16384	80.011
19	16384	80.225
20	16384	75.690
21	16384	79.425
22	16384	80.530
23	16384	76.337
24	16384	82.349
25	16384	79.987
26	16384	72.516
27	16384	80.530
28	16384	80.176
29	16384	81.970
30	16384	80.841
31	16384	72.620
32	16384	73.804
33	16384	74.567
34	16384	76.587
35	16384	77.832
36	16384	74.695
37	16384	76.819
38	16384	78.314
39	16384	73.340
40	16384	82.092
41	16384	75.269
42	16384	72.009
43	16384	76.886
44	16384	72.156
45	16384	74.426
46	16384	76.257
47	16384	72.766
48	16384	78.259
49	16384	84.680
50	16384	72.974
51	16384	72.968
52	16384	72.858
53	16384	80.225
54	16384	81.696
