 	Area	%Area
1	16384	68.896
2	16384	67.944
3	16384	80.847
4	16384	69.702
5	16384	69.940
6	16384	65.869
7	16384	62.842
8	16384	59.027
9	16384	65.326
10	16384	65.680
11	16384	70.020
12	16384	65.033
13	16384	64.062
14	16384	60.822
15	16384	65.088
16	16384	63.934
17	16384	70.526
18	16384	70.551
19	16384	67.438
20	16384	68.555
21	16384	72.229
22	16384	72.009
23	16384	69.415
24	16384	67.114
25	16384	60.791
26	16384	62.329
27	16384	71.509
28	16384	65.570
29	16384	66.541
30	16384	73.560
31	16384	67.371
32	16384	64.783
33	16384	61.578
34	16384	64.514
35	16384	65.204
36	16384	65.698
37	16384	66.980
38	16384	69.312
39	16384	66.119
40	16384	70.099
41	16384	66.266
42	16384	62.811
43	16384	68.774
44	16384	67.694
45	16384	68.457
46	16384	65.973
47	16384	65.015
48	16384	69.476
49	16384	66.071
50	16384	60.095
51	16384	65.363
52	16384	65.765
53	16384	69.830
54	16384	70.215
