 	Area	%Area
1	16384	50.055
2	16384	50.201
3	16384	49.677
4	16384	50
5	16384	49.622
6	16384	50.281
7	16384	49.487
8	16384	49.902
9	16384	49.768
10	16384	49.652
11	16384	49.805
12	16384	49.835
13	16384	50.244
14	16384	50.378
15	16384	49.475
16	16384	50.110
17	16384	50.031
18	16384	49.603
19	16384	49.768
20	16384	50.366
21	16384	49.847
22	16384	50.287
23	16384	49.786
24	16384	50.037
25	16384	49.982
26	16384	50.214
27	16384	50.220
28	16384	49.683
29	16384	49.988
30	16384	50.427
31	16384	50.104
32	16384	49.664
33	16384	50.006
34	16384	50.043
35	16384	49.945
36	16384	49.939
37	16384	50.244
38	16384	49.664
39	16384	50.360
40	16384	50.519
41	16384	50.128
42	16384	49.969
43	16384	49.756
44	16384	49.780
45	16384	49.860
46	16384	50.403
47	16384	50.195
48	16384	50.262
49	16384	50.470
50	16384	50.415
51	16384	49.988
52	16384	50.171
53	16384	49.896
54	16384	49.847
