 	Area	%Area
1	16384	94.757
2	16384	96.069
3	16384	95.355
4	16384	94.586
5	16384	94.336
6	16384	95.447
7	16384	92.517
8	16384	89.087
9	16384	93.658
10	16384	92.993
11	16384	93.018
12	16384	93.591
13	16384	92.871
14	16384	94.135
15	16384	97.449
16	16384	90.826
17	16384	91.608
18	16384	98.517
19	16384	94.611
20	16384	94.250
21	16384	97.162
22	16384	96.271
23	16384	96.094
24	16384	96.381
25	16384	91.217
26	16384	92.639
27	16384	96.790
28	16384	91.931
29	16384	96.472
30	16384	91.730
31	16384	93.915
32	16384	95.148
33	16384	89.581
34	16384	86.005
35	16384	93.756
36	16384	91.107
37	16384	92.932
38	16384	96.692
39	16384	98.529
40	16384	95.282
41	16384	95.538
42	16384	95.343
43	16384	92.523
44	16384	90.192
45	16384	91.248
46	16384	96.674
47	16384	90.295
48	16384	93.640
49	16384	93.140
50	16384	91.034
51	16384	93.335
52	16384	92.816
53	16384	91.644
54	16384	91.156
