 	Area	%Area
1	16384	96.442
2	16384	96.539
3	16384	97.424
4	16384	96.069
5	16384	97.955
6	16384	97.290
7	16384	94.647
8	16384	95.935
9	16384	96.472
10	16384	94.659
11	16384	96.124
12	16384	94.391
13	16384	94.550
14	16384	95.660
15	16384	98.590
16	16384	97.168
17	16384	93.713
18	16384	98.553
19	16384	96.918
20	16384	95.447
21	16384	93.054
22	16384	95.508
23	16384	93.170
24	16384	93.951
25	16384	97.131
26	16384	94.092
27	16384	95.807
28	16384	97.540
29	16384	95.026
30	16384	95.819
31	16384	96.960
32	16384	96.588
33	16384	90.222
34	16384	84.711
35	16384	94.397
36	16384	86.981
37	16384	95.923
38	16384	96.490
39	16384	97.266
40	16384	96.967
41	16384	95.917
42	16384	92.822
43	16384	94.177
44	16384	87.018
45	16384	92.371
46	16384	96.869
47	16384	93.665
48	16384	93.878
49	16384	94.550
50	16384	92.535
51	16384	94.843
52	16384	92.426
53	16384	92.896
54	16384	92.474
